"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-01","0.00","57","71","45"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-02","0.00","59",,"45"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-03","0.00","58","73",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-04","0.00","55","72","41"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-05","0.00","56","71","43"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-06","0.00","54",,
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-07","0.00","57","70","45"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-08","0.00","54",,
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-09","0.00","54","73","37"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-10","0.00","54","73","35"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-11",,"54","70",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-12","0.00","58",,"43"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-13",,"58",,"47"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-14","0.00","58","74",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-15",,"58","71","44"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-16","0.00","55","70",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-17","0.00","60",,"48"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-18","0.00","59","69",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-19","0.00","57",,"47"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-20","0.00","58","69","47"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-21","0.00","59","68","51"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-22","0.00","57","70","49"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-23","0.00","57",,"46"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-24","0.00","58",,"47"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-25","0.00","58",,"48"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-26","0.28","60","73","51"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-27","0.24","59",,"49"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-28","0.00","56","71","44"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-29","0.02","56",,"33"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-30","0.00","58",,
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-01-31","0.00","58","71","47"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-01","0.00","58","70",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-02","0.00","58",,"47"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-03","0.00","57",,"42"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-04","0.00","54","72","36"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-05","0.00","53",,"33"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-06",,"53","76","31"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-07","0.00","54","73","34"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-08","0.00","60","72","49"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-09","0.31","56",,"42"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-10","3.90","57","72","45"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-11","0.00","57",,
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-12","0.00","57",,"38"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-13","0.00","58","74","41"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-14","0.04","58","76","50"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-15","0.00","59",,"47"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-16","0.00","58",,
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-17","0.00","59","71","47"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-18","0.00","58",,"40"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-19","0.00","60",,"53"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-20","0.00","58",,"48"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-21","0.02","57","73",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-22","0.00","58",,"49"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-23",,"57","72",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-24","3.58","59",,"55"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-25","0.02","60",,"51"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-26","0.04","60","73","54"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-27","0.00","58",,"46"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-28","0.00","59",,"45"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-02-29","0.00","58","72","48"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-01","0.08","58",,"48"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-02","0.00","60","71","50"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-03","0.71","59",,"47"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-04","0.01","60",,"47"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-05","0.00","58","76",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-06","0.00","58","77","42"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-07","0.00","60","75","49"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-08","0.00","61","73","53"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-09","0.04","60","71",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-10","0.00","60",,"52"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-11",,"60","73",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-12","0.00","61","72","55"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-13",,"60",,
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-14",,"62","71",
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-15","0.04","59",,"54"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-16","0.28","60",,"53"
"CO000080222","BOGOTA ELDORADO, CO","4.701","-74.15","2548.0","2020-03-17","0.00","58",,
